speaker1,speaker2
" bofu I need to find the shortest route to the hospital. eofu bofu Can you send me the directions? eofu bofu Thank you car, please pick the route with the shortest distance to reach there! eofu", bofu Sorry it appears the nearest hospital is 8 miles away. Palo Alto Medical Foundation is located at 611 Ames Ave with heavy traffic noted.  eofu bofu Palo Alto Medical Foundation is located at 611 Ames Ave eofu bofu I sent the route on your map. You're welcome! eofu
" bofu give me the closest fast food restaurant eofu bofu Sure find the fastest route to a pizza place that is within 3 miles of me. eofu bofu Yes, please! eofu bofu Thank you car! eofu"," bofu I do not have a listing for any fast food places but i do have a pizza restaurant that is 3 miles away. Would you like more info on it? eofu bofu Pizza Hut is 3 miles away, would you like the address? eofu bofu 704 El Camino Real, I've already set the navigator to go there eofu bofu You're welcome! eofu"
 bofu What is the date of my Nextt dentist appointment and who will be attending it? eofu bofu Thank you.  eofu, bofu Your next dentist appointment is on the 2nd with sister.  eofu bofu You're welcome.  eofu
 bofu is it going to rain at all this upcoming week eofu bofu redwood city eofu bofu Okay thank you eofu, bofu What city shall I check for rain? eofu bofu Chance of rain on Saturday in Redwood City. eofu bofu no problem eofu
" bofu Is there a nearby rest stop? eofu bofu Which has the least amount of traffic at the moment. eofu bofu What is the address for Keen? eofu bofu Yes, sounds great.  eofu"," bofu Hotel Keen and The Westin are both nearby. eofu bofu They both have none. eofu bofu 578 Arbol Dr, we're 2 miles away from it. Set the navigation there? eofu bofu Alright eofu"
" bofu Give me the address of the nearest shopping center to me, with the fastest route to it eofu bofu Is there any traffic? eofu bofu Then pick the fastest route and let's go there, thank you car! eofu", bofu Stanford Shopping Center is 2 miles away at 773 Alger Dr. eofu bofu There is moderate traffic on the way to Stanford Shopping Center. eofu bofu I sent on your screen the fastest route to the shopping center. And you're welcome! eofu
 bofu what is the weather like today in tomorrow eofu bofu Will it be cloudy in Compton today? eofu bofu OK. eofu, bofu What city are you inquiring about? eofu bofu Compton is not showing a forecast for cloudy skies today. eofu bofu You are welcome. eofu
 bofu tell me the time of today's meeting eofu bofu Perfect.  eofu, bofu the meeting is at 7pm  eofu bofu Anything else? eofu
" bofu Find me a gas station that I can get to the quickest without any traffic eofu bofu Anything else around? eofu bofu Ok, please give me directions via the fastest route.  eofu bofu Thank you eofu"," bofu The nearest gas station is located at 91 El Camino Real, but there is a roadblock nearby. eofu bofu I'm sorry but this is the only option in a 6 miles range eofu bofu There is a road block nearby, I sent on your screen a slightly longer road that will allow you to reach faster eofu bofu You're welcome! eofu"
 bofu Where does my friend live? eofu bofu Is that the fastest route? eofu bofu Thank you eofu," bofu Tom's house is 6 miles away at 580 Van Ness Avenue.  eofu bofu I'll send the route with no traffic on your screen, drive carefully! eofu bofu You are welcome eofu"
" bofu show me traffic for going home eofu bofu Then pick the fastest route and set the GPS to go there, thank you! eofu bofu Thanks for the help.  eofu", bofu There is no traffic listed going to 10 Ames Street.  eofu bofu Setting navigation now.  eofu bofu You're welcome! eofu
" bofu Will it be dry in Fresno on Sunday? eofu bofu Okay, thank you eofu"," bofu No, on Sunday in Fresno there will be a blizzard. eofu bofu No problem. eofu"
 bofu Car I'm desiring to have pizza: is there any restaurant within 2 miles? eofu bofu What is the address? eofu bofu Thanks! eofu, bofu I have a pizza restaurant located 1 mile away. eofu bofu Dominos is at 776 Arastradero Rd. eofu bofu You're welcome! eofu
" bofu search hotels near me eofu bofu Find an alternate route please. eofu bofu Thank you car assistant, make sure the route is the shortest distance.  eofu", bofu The Comfort Inn is the only rest stop nearby. It is 6 miles away and there is a car collision nearby eofu bofu Setting navigation to 753 University Ave now.  eofu bofu I did! And you're welcome! eofu
 bofu set a reminder for my conference call tomorrow eofu bofu Tomorrow at 2 pm. eofu, bofu What time should I set a reminder for tomorrow's conference call? eofu bofu I have scheduled a conference call for tomorrow at 2 pm.  eofu
 bofu take me to the parking garage closest to my destination eofu bofu Uhh ok well I still need to park so what's the address? eofu bofu Thank you. eofu," bofu The closest  parking garage is 	Palo Alto Garage R which is only 2 miles away, but there is a road block in the area.  eofu bofu Setting navigation now to 481 Amaranta Ave. eofu bofu your welcome. eofu"
 bofu where can i get coffee eofu bofu Give me the address of Philz. eofu bofu Thanks so much. Is that the fastest route available? eofu bofu Set GPS for the fastest route to Palo Alto Cafe. eofu bofu thanks bud. eofu," bofu There is Palo Alto Cafe 2 miles away or, if you prefer, Philz 6 miles away eofu bofu Philz is at 583 Alester Ave. eofu bofu No actually there is another coffee shop that's just two miles away. It's called Palo Alto Cafe and located at 436 Alger Dr.  eofu bofu Setting GPS to fastest route to Palo Alto Cafe now. eofu bofu no problem eofu"
" bofu Schedule meeting.  eofu bofu Please set it for the 13th at 11am. It is going to be with management and to discuss our company picnic. Thank you. eofu bofu That is all, thank you. eofu", bofu What details shall I add to your meeting reminder? eofu bofu Reminder set for your meeting at 11am on the 13th with management to discuss your company picnic.  Is there anything else? eofu bofu you're welcome eofu
 bofu what is the weather like in new york city eofu bofu What will the temperature be on Thursday? eofu bofu Thank you very much car! eofu," bofu What would you like to know about the weather in new york? eofu bofu On Thursday the temperature in New York will be low of 90F, and high of 100F eofu bofu You're welcome! eofu"
" bofu Can you find me the fastest route to a pizza restaurant? eofu bofu Let's try Papa Johns tonight.  eofu bofu Give me the address and the details for the fastest route there, please.  eofu bofu Thank you car! eofu"," bofu The Pizza Hut is located 5 miles away in heavy traffic, and Papa Johns is 6 miles away in moderate traffic. Which of these would you prefer? eofu bofu Setting the GPS for Papa John's anything else? eofu bofu OK, setting navigation to 110 Arastradero Rd now. Enjoy! eofu bofu You're welcome! eofu"
 bofu i have a meeting tomorrow at 5 pm remind me 10 minutes before hand and attach my agenda to the calendar at 3 eofu bofu Thank you.  eofu, bofu I have scheduled a meeting for tomorrow at 5 pm. I will remind you at 4:50 pm and attach your agenda.  eofu
 bofu does the forecast say it will snow eofu bofu I need to know about Compton for my trip.  eofu bofu Please check if it will snow today or tomorrow eofu bofu Thank you eofu, bofu What city do you want to know the snow forecast for? eofu bofu Do you want me to check if it will snow on a specific day or the entire week? eofu bofu Frost is predicted in Compton today but there is no snow for today or tomorrow. eofu bofu You're welcome. eofu
 bofu I really need to have an appointment scheduled for tennis on the 7th at 11 am. eofu bofu Thanks. eofu, bofu I am scheduling tennis on the 7th at 11 am.  eofu bofu You're welcome eofu
 bofu where's the closest place to park eofu bofu Yes please. eofu bofu Thanks so much. eofu," bofu The closest parking garage is 4 miles away. Would you like the address and name of it? eofu bofu The parking garage is the Webster Garage, 3 miles away at 880 Ames Ct eofu bofu Happy to help! eofu"
 bofu I need to find a shopping center.  eofu bofu Yes please. eofu bofu Thank you.  eofu," bofu The Stanford Shopping Center at 773 Alger Dr is 3 miles away in no traffic. Would you like directions there? eofu bofu I sent all the info on the screen, please drive carefully! eofu bofu You're welcome! eofu"
 bofu Is it raining today in Grand Rapids? eofu bofu Thank you eofu, bofu It is not raining today in Grand Rapids. eofu bofu Anytime. eofu
 bofu When is my football activity and who is going with me? eofu bofu thanks eofu," bofu You have 3 football activities lined up. 2pm on Monday with Tom, 1pm on Monday with your dad, and on Sunday at 1pm with your mother eofu"
 bofu find out if it's supposed to rain eofu bofu I'm interested in Fresno. eofu bofu Thank you eofu, bofu Where would you like to know about the forecast for rain? eofu bofu There is no rain in the forecast.  eofu bofu You are welcome.  eofu
 bofu What grocery stores are here? eofu bofu What is the address? eofu bofu Can you set the navigation to there? Thanks.  eofu," bofu There is a Safeway 4 miles away. eofu bofu Safeway is at 452 Arcadia Pl. eofu bofu Sure, I sent the position and the quickest route on your screen, you're welcome! eofu"
" bofu i'm in pain navigate me to the nearest hospital eofu bofu Pick the fastest to reach on the quickest route eofu bofu Sounds great, thank you. eofu"," bofu I have two hospitals located 1 mile away. Which one would you like to know about? eofu bofu Then let's go at Palo Alto Medical Foundation, there is no traffic on our way and its address is 611 Ames Ave eofu bofu You're welcome! eofu"
" bofu search for nearby starbucks eofu bofu How about other coffee? eofu bofu Yes, please, send those info on my screen and pick a quick route to go there, thank you! eofu bofu Thank you car! eofu", bofu There is no Starbucks nearby. eofu bofu There is a coffee place 2 miles away. Do you need the address and name? eofu bofu Philz is a coffee shop located at 583 Alester Ave. Setting your GPS for the quickest route possible now. eofu bofu You are welcome. eofu
 bofu Will it be windy in redwood city today? eofu bofu Okay thanks eofu, bofu It is not predicted to be windy today in redwood city eofu bofu you are very welcome eofu
" bofu what's the weather forecast in new york eofu bofu I need to know what the lowest temperature will be in New York in the next few days. eofu bofu Thank you so much, let's hope it won't be rainy.. eofu", bofu What information can I give you about new york's weather? eofu bofu It will be 30F on Wednesday in New York. eofu bofu I hope so too! eofu
" bofu set a reminder eofu bofu I need to see the optometrist, set it for 7 pm on August 12th, please.  eofu bofu Thank you eofu", bofu when should I set this reminder and what for? eofu bofu Your reminder has been set to see the optometrist at 7PM on Aug 12th. eofu bofu my pleasure serving you.  eofu
 bofu when do i have dinner planned for eofu, bofu Your dinner is at 5 pm Monday. eofu
" bofu Set a reminder for a lab appointment at 6 pm on Sunday, August 8th with sister.  eofu bofu Thanks. eofu"," bofu Okay, scheduling a lab appointment with your sister for Sunday, August 8th at 6pm. eofu bofu You're welcome.  eofu"
 bofu In the next 48 hours will it rain in alhambra? eofu bofu Thank you. eofu, bofu Just a little: the weather in Alhambra will be drizzle today and overcast tomorrow eofu bofu Sure! eofu
" bofu what is the forecast in my city eofu bofu Inglewood, what's the weekly weather looking like? eofu bofu When is it expected to snow? eofu bofu Thanks. eofu"," bofu What city do you want the weather for? eofu bofu There is a wide range of conditions for Inglewood next week, from 40-100F and snow to hot.  Are there any particular details you would like? eofu bofu It is expected to snow on Wednesday in Inglewood. eofu bofu No problem! eofu"
 bofu what is the weather next week eofu bofu Mountain View please. eofu bofu Will it be hot any of the days? eofu bofu Thanks for the information. eofu," bofu What city are you wanting to know the weather for? eofu bofu In Mountain View, it will be 30-40F Monday, 80-100F Tuesday, 90-100F Wednesday, 90-100F Thursday, 70-80F Friday, 90-100F Saturday, and 70-80F Sunday. eofu bofu The only day of the week it will be hot is on Monday with a high of high of 40F. eofu bofu You're welcome. eofu"
 bofu Set a reminder that I have football at 1pm next Wednesday with Martha  eofu bofu Thank you very much assistant. eofu, bofu I have scheduled football at 1pm next Wednesday with Martha eofu bofu you are welcome eofu
 bofu What is the date and time of my doctor appointment? eofu bofu Thank you. eofu, bofu You have two doctor appointments scheduled. One on Wednesday at 6pm and the other on Thursday at 9am. eofu bofu You're welcome.  eofu
 bofu On tuesday in san mateo find out if it will be warm eofu bofu Thank you car! eofu," bofu It will be hot in san mateo, tuesday's forecast predicts the high temperature will reach 100F eofu bofu You are welcome. eofu"
" bofu Find out immediately the location, time, and date for my meeting.  eofu bofu That will do just fine, thanks. eofu"," bofu For which one? I have one in conference room 100 at 10am on Friday, and one in Conference room 50 at 10 am on Saturday. eofu bofu You're welcome! eofu"
 bofu Will it be windy in Durham this week? eofu bofu Thanks. eofu," bofu The forecast does not predict any windy days this week in Durham eofu bofu You're welcome, have a great day.  eofu"
 bofu what time is my swimming scheduled for eofu, bofu Your swimming activity is scheduled for Thursday at 3PM. eofu
 bofu give me directions to the nearest shopping center eofu bofu Can you pick the shortest distance to go there? eofu bofu Thank you.  eofu," bofu The nearest shopping mall is Midtown Shopping Center, it's 4 miles away eofu bofu Setting GPS now. eofu bofu You're welcome! eofu"
 bofu Will there be dew in Brentwood this week? eofu bofu Thanks. eofu, bofu There is no dew in the forecast for Brentwood this week.  eofu bofu No problem. eofu
" bofu What time and date is my lab appointment? eofu bofu Great, goodbye. eofu"," bofu You have three lab appointments scheduled. The first is on the 5th at 4pm, the next is on the 10th at 11am, and the last is on the 19th at 11am. eofu bofu Goodbye. eofu"
 bofu give me the forecast for the next 7 days eofu bofu Redwood City please. eofu bofu Thanks so much.  eofu, bofu What city would you like to hear the 7 day forecast for? eofu bofu Redwood City is forecast to be cloudy and cold with a chance of a blizzard; lows in the 20s are expected with highs near 60.  eofu bofu You're welcome.  eofu
 bofu when is my next meeting eofu, bofu Your next meeting is friday at 1 pm. eofu
" bofu give me directions to the nearest grocery store eofu bofu Sure, please send me its address on screen and pick a route to avoid all heavy traffic eofu bofu Got it, thanks! eofu bofu Great! eofu"," bofu There is Trader Joes 5 miles away: would you like to get more info? eofu bofu Trader Joes is located at 408 University Ave. eofu bofu Awesome, you're welcome. eofu bofu glad to help eofu"
" bofu check the weather for the 7 day forecast eofu bofu Los Angeles, please. Will it be hot? eofu bofu Thanks so much for the information.  eofu", bofu What city are you interested in? eofu bofu It will be hot today in Los Angeles. eofu bofu You're welcome! eofu
" bofu Please give me the address and directions via the quickest route to a hospital around me.  eofu bofu Fantastic, thank you eofu", bofu Stanford Express Care hospital at 214 El Camino Real is there 3 miles away through moderate traffic eofu bofu You are welcome eofu
" bofu What day is my lab appointment, and who all will be there? eofu bofu Thanks! eofu", bofu Your lab appointment is set for the 4th and Jon will be there. eofu bofu no problem eofu
 bofu set reminder for eye doctor appointment on the 12th at 3 pm eofu, bofu I have set a reminder for your 3 pm eye doctor appointment on the 12th. eofu
" bofu i feel like some coffee where's the nearest place eofu bofu Are they any closer options? eofu bofu Then let's go there, please pick a quick route for me eofu bofu Thank you.  eofu", bofu We're 5 miles away from Peets Coffee	 eofu bofu No Peets Coffee is the only option.  eofu bofu Peets is 5 miles away in moderate traffic; setting navigation to 9981 Archuleta Ave now. eofu bofu You are welcome. eofu
 bofu when am i playing tennis eofu, bofu Your tennis game is at 7 pm wednesday. eofu
 bofu set reminder for doctor's appointment for the tenth eofu, bofu What time is it? eofu
 bofu schedule a dentist appointment at 3 next month on the 12th eofu, bofu I have scheduled a dentist appointment for 3 pm next month on the 12th. Is that correct?  eofu
" bofu show me the nearest shopping mall eofu bofu Give me the address. eofu bofu Set GPS for a route without any traffic. eofu bofu Is there an alternate mall with no traffic on the route? eofu bofu Ok, thanks. Set the GPS for there please.  eofu bofu Thanks for all the help.  eofu"," bofu We are 1 miles away from Stanford Shopping Center: does it sound good to you? eofu bofu The address is 773 Alger Dr, I sent it on your screen eofu bofu There is moderate traffic but you should be able to reach it fast anyway eofu bofu No that's the closest and fastest available.  eofu bofu GPS is set for Stanford Shopping Center, at 773 Alger Dr, 1 mile away with moderate traffic. eofu bofu Happy to help, you're welcome.  eofu"
" bofu tell me when my dentist appointment is eofu bofu Perfect, thanks so much! eofu", bofu Your dentist appointment is this Saturday at 7pm. eofu bofu you're welcome eofu
" bofu check forecast for new york eofu bofu Thank you. I would like to know if there will be frost in new york anytime over the next 7 days? eofu bofu Great, thank you eofu"," bofu The weather forecast in New York is windy, the low is 40F and the high is 60F. eofu bofu Frost is predicted in New York on Saturday. eofu bofu anytime eofu"
" bofu Can you direct me to a coffee or tea place nearby, preferably on a route with no traffic? eofu bofu Sounds great, set the GPS for there please.  eofu bofu Thank you.  eofu"," bofu Cafe Venetia is a mile away with no traffic at 269 Alger Dr.  eofu bofu I updated the map on your screen, drive carefully! eofu bofu You're welcome.  eofu"
" bofu give me directions to the nearest mall eofu bofu Give me the address. eofu bofu Thank you car, please set the GPS with the fastest route to get there eofu bofu Thank you eofu", bofu Navigating you to Town and Country. eofu bofu The address to Town and Country is 383 University Ave. eofu bofu GPS set to fastest route. We should be there soon.  eofu bofu you are welcome eofu
 bofu what is the weather like today and tomorrow eofu bofu Will it rain in Mountain View? eofu bofu Thank you eofu," bofu What city would you like the weather for? eofu bofu Rain is not predicted today, but tomorrow rain is predicted to fall in mountain view eofu bofu You're welcome! eofu"
" bofu Where is the nearby hospital? eofu bofu Give me the address to Stanford Childrens Health. eofu bofu Okay, thanks eofu", bofu Stanford Childrens Health is the only hospital. eofu bofu Stanford Childrens Health is at 899 Ames Ct. eofu bofu You're welcome! eofu
" bofu Set a reminder for doctors appointment on August 14th at 4pm with my sister eofu bofu Sorry, can you confirm that that has been set one more time? eofu bofu Thank you very much. eofu"," bofu Reminder for doctors appointment on August 14th at 4pm with your sister is set eofu bofu A reminder for your doctors appointment on August 14th at 4pm with your sister has been set. eofu bofu No problem, goodbye. eofu"
 bofu What date is my football activity and who is attending? eofu bofu Thanks. eofu, bofu You have two football activities scheduled. One on the 17th with Jeff and one on the 18th with Tom. eofu bofu My pleasure. eofu
 bofu schedule a meeting for next week eofu, bofu What date and time do you want to schedule your meeting? eofu
 bofu check the weather eofu bofu Check if there will be hail in Cleveland this weekend.  eofu bofu Thank you! eofu, bofu What city would you like me to check the weather for? eofu bofu There will be Hail on Sunday this weekend in Cleveland.  eofu bofu You're welcome! eofu
 bofu what time is yoga class eofu bofu Thank you.  eofu, bofu Your yoga class is at 1 pm eofu bofu no problem eofu
 bofu Schedule a 6 pm meeting with my boss to go over the quarterly report on Tuesday. eofu bofu Thanks. eofu," bofu Okay, scheduling a meeting for 6 pm on Tuesday with your boss to go over the quarterly report. eofu"
" bofu show me the closest location where i can get chinese food eofu bofu Give me the address. eofu bofu I wish to avoid all heavy traffic, check if there is another way to get there otherwise just set my GPS, thank you! eofu"," bofu Panda express is 3 miles away. eofu bofu 842 Arrowhead Way, there is heavy traffic but you should be able to reach there soon anyway eofu bofu I sent on your screen the best possible route to avoid all heavy traffic. And you're welcome! eofu"
" bofu Where is there a hospital around me? eofu bofu OK, please give me the address and direct me there via a quick route.  eofu bofu Thank you car! eofu", bofu We're 5 miles away from Stanford Express Care: do you want me to set the GPS to go there? eofu bofu The address is 214 El Camino Real; setting navigation now.  eofu bofu You're welcome! eofu
 bofu find me a nearby shopping mall shopping center eofu bofu Thank you. eofu, bofu The closest shopping center is Midtown Shopping Center 3 miles away. eofu bofu You're welcome! eofu
" bofu Will it snow in Fresno in the next week?  eofu bofu Great, thanks for the assistance.  eofu", bofu There isn't any snow predicted in fresno next week eofu bofu You are very welcome. eofu
 bofu remind me to go swimming on the 12th of this month eofu," bofu Okay, I've set a reminder to go swimming on the 12th. eofu"
 bofu is it going to snow in the next 7 days eofu bofu Boston eofu bofu Thank you car! eofu," bofu Snow is in the predictions for several cities, which one would you like me to tell you about? eofu bofu it is predicted to snow in Boston on Friday. eofu bofu You're very welcome! eofu"
" bofu Car I need to get to a rest stop, please pick something with a quick route within 2 miles from here eofu bofu Mmm, patience.. Please send me a quick route to get there, thank you! eofu bofu Thanks for all your help.  eofu"," bofu The only rest stop is 6 miles away. eofu bofu Okay, sending you the info for Hotel Keen at 578 Arbol Dr eofu bofu You are welcome eofu"
 bofu What is the date and time of my next football activity. eofu bofu Okay thanks. eofu," bofu Your next football activity is Saturday at 11am. eofu bofu No problem, goodbye. eofu"
 bofu Where can I go shopping? eofu bofu Is that the closest shopping center to my location? eofu bofu What is the address? eofu bofu Oh okay let's start the route now then please.  eofu bofu Thank you car! eofu," bofu Stanford Shopping Center is 3 miles away. eofu bofu Yes, Stanford Shopping Center is the closest. eofu bofu Stanford Shopping Center is 3 miles away at 773 Alger Dr. Please note there is a road block reported nearby.  eofu bofu I sent the info on your screen, drive carefully! eofu bofu You're welcome! eofu"
" bofu Find out some information for my swimming activity, parties joining me and date.  eofu bofu The one on the 8th. eofu bofu Thanks for your help, goodbye. eofu bofu That will be all. eofu"," bofu Okay which one, I have two. One is the 8th with Jeff and the other is on the same day with Martha. eofu bofu Both swimming activities are on the 8th, the one at 10am is with Martha and the other at 2pm is with Jeff. eofu bofu My pleasure.  eofu bofu no problem eofu"
 bofu Schedule a tennis activity for the 13th at 9 am with my brother.  eofu, bofu Reminder for tennis with brother on the 13th at 9am set. eofu
" bofu Where is there Chinese food? eofu bofu What is the address? eofu bofu Pick a route to avoid all heavy traffic and let's go there, thank you! eofu bofu Thank you car! eofu", bofu I have a chinese restaurant that is 5 miles away named Jing Jing. Need more info? eofu bofu Jing Jing	is at 113 Arbol Dr. eofu bofu Setting GPS for quickest route with no traffic now. eofu bofu Anytime! eofu
 bofu what is the weather like for tomorrow night eofu bofu brentwood eofu bofu Thank you eofu, bofu Where would you like to hear the weather report from? eofu bofu Tomorrow is gonna be humid in Brentwood eofu bofu You are welcome. eofu
 bofu check to see if i have any meetings or conferences in the near future eofu bofu Thanks  eofu, bofu Go over budget is scheduled for Monday at 3pm in 100 conference room. eofu bofu No Problem! eofu
" bofu find the nearest coffee shop eofu bofu Yes, please, send it on my screen and pick a route to avoid all heavy traffic eofu bofu Yes please. eofu bofu Thank you car! eofu"," bofu The nearest coffee shop is Starbucks which is 3 miles away. Do you need the address? eofu bofu The address to Starbucks is 792 Bedoin Street and there is moderate traffic on the route.  Would you like me to set the GPS? eofu bofu I sent the info on your screen, drive carefully! eofu bofu You're welcome! eofu"
" bofu directions to coffee and tea house eofu bofu Pick the one near my current location and avoid all heavy traffic please eofu bofu Ok, give me the address to Philz eofu bofu Thank you car! eofu"," bofu There are two local coffee shops; one is 2 miles away and one is 6 miles away which would you prefer? eofu bofu Philz is 2 miles away but there is moderate traffic. There isn't any traffic on the route to Starbucks, but it is 6 miles away from your location. eofu bofu Philz is located at 583 Alester Ave. eofu bofu No problem, you're welcome.  eofu"
 bofu Set an optometrist appointment for 3pm on the 15th of this month with my aunt eofu bofu Thank you. eofu, bofu I will set this Optometrist appointment for 3 pm on the 15th of this month with Aunt.  eofu bofu You are very welcome. eofu
" bofu Where is the hospital? eofu bofu Yes, Thank you eofu bofu Yes, please.  eofu", bofu The hospital Stanford Express Care is 2 miles away: do you want me to send you its position on screen? eofu bofu The address is 214 El Camino Real. Should we navigate there now? eofu bofu Okay eofu
 bofu get me the weather forecast for the next 7 days eofu bofu New York eofu bofu thank you  eofu," bofu For what city would you like the forecast? eofu bofu Over the next 7 days, snow, rain, fog, overcast and clear skies, along with a blizzard are predicted in New York. eofu bofu You are very welcome.  eofu"
 bofu get me the weather report for this week eofu bofu Will there be a blizzard in Inglewood? eofu bofu Thank you car! eofu, bofu What city would you like the weather report for? eofu bofu The weather forecast doesn't predict any blizzard this week in Inglewood eofu bofu no problem eofu
 bofu Is it dry in Fresno right now? eofu bofu Thank you! eofu, bofu It is misty in Fresno right now. eofu bofu Anytime. eofu
 bofu what time is my meeting at eofu bofu Thank you eofu, bofu meeting at 3pm eofu bofu Glad to help sir.  eofu
" bofu what's the forecast going to be for today and tomorrow eofu bofu Today and tomorrow, will there be clear skies in Compton? eofu bofu Thank you. eofu"," bofu What city do you want the weather for? eofu bofu It will be between 80-100F, hot, and windy in Compton today and tomorrow. eofu bofu You're welcome. eofu"
" bofu Please give me the address and directions by the fastest route to a coffee or tea place. Avoid heavy traffic please.  eofu bofu Yes, it sounds perfect, thank you car! eofu"," bofu We're 4 miles away from Starbucks, that's located at 792 Bedoin Street, and there is moderate traffic on our way. Do you want me to set the GPS to go there? eofu bofu You're very welcome! eofu"
" bofu give me directions to starbucks eofu bofu Yes show me the address. eofu bofu Let's avoid all heavy traffic and let's go there, thanks! eofu"," bofu I'm sorry but there are no Starbucks around here. Would you like to get the address of some other coffee? There is Coupa 3 miles away. eofu bofu 394 Van Ness Ave is the address for Coupa. eofu bofu I sent on your screen all the info, there is no traffic now and you should be able to reach in few minutes. You're welcome! eofu"
 bofu put my optometrist appointment in my calendar eofu bofu  eofu," bofu Okay, what time is your optometrist appointment? eofu bofu What date and time is your appointment? eofu"
